population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1993,71.00952515850076,105.49017727149331,39.45616543006018
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1993,113.75493189256986,146.65836210847658,75.8041262210031
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1993,169.51059379974376,229.80760340945042,115.03882400036773
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1993,69.68164652002072,104.0096622902973,38.67319924315896
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1993,110.64226495802404,143.1453823358795,73.84855487697315
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,510,Pneumoconiosis,3,Rate,1993,0.9931827960103077,2.3953447247784085,0.3651613466509339
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,510,Pneumoconiosis,3,Rate,1993,0.02120312215328085,0.04389948660210676,0.00875174292807462
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,510,Pneumoconiosis,3,Rate,1993,0.4603731662354997,1.123738547085772,0.17925112065980006
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,515,Asthma,3,Rate,1993,3.762744414191218,7.245614994172883,1.376925986740347
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,515,Asthma,3,Rate,1993,1.1012221892574827,2.2706498664457984,0.39840259454195515
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,515,Asthma,3,Rate,1993,2.2259051523148408,3.6660742840877107,1.054559235590667
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1993,0.31987592990149766,0.6773453736099784,0.16395864394951137
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1993,0.08748211211967201,0.1509224267861249,0.042399375880026124
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1993,0.18551070297187425,0.3387148646208705,0.10606101847648215
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1993,0.3702961754129109,0.6486590930484826,0.1821209124994101
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1993,0.11797121494961935,0.23448969603402545,0.05815140208584933
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1993,0.24087791302359873,0.3966361988902607,0.13759821876044961
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1995,0.19006532007591476,0.35404516365985406,0.11103403159556177
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1995,0.3814805229404246,0.6622059208766342,0.20265777427038886
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1995,0.13490057248776552,0.2635563779743147,0.07197728808186564
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1995,0.2552971867824889,0.39967371416537234,0.15250346611726215
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1994,0.18694990319526056,0.33832050534522834,0.10819724084001621
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1994,0.3802883720713632,0.6532547132700591,0.19666767430440488
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1994,0.12898321308887173,0.2541128903175332,0.06669090193521228
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1994,0.25150069706779393,0.39715202578950964,0.14960219245669582
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1995,167.98316787370464,227.42559823879395,117.35336429034584
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1995,72.52317914840012,104.22911655975662,38.29089967658017
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1995,112.1310362169132,143.58084856674543,75.24583082488336
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1995,162.7695589251422,221.45768415457314,113.24107096297514
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1995,71.15290756349218,102.3585547885783,37.38164754560781
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1995,109.0805184328068,140.12225693431714,72.44899542597899
